20 1 M1-T1-S
20 2 M1-T2-S
20 3 M1-T3-S
20 4 M1-T4-S
20 5 M2-T1-S
20 6 M2-T2-S
20 7 M2-T3-S
20 8 M2-T4-S
20 9 M3-T1-S
20 10 M3-T2-S
20 11 M3-T3-S
20 12 M3-T4-S
20 13 M4-T1-S
20 14 M4-T2-S
20 15 M4-T3-S
20 16 M4-T4-S
20 17 M5-T1-S
20 18 M5-T2-S
20 19 M5-T4-S
20 20 M6-T1-S
20 21 M6-T2-S
20 22 M6-T3-S
20 23 M6-T4-S
20 24 M7-T1-S
20 25 M7-T2-S
20 26 M7-T3-S
20 27 M7-T4-S
20 28 M8-T1-S
20 29 M8-T2-S
20 30 M8-T3-S
20 31 M8-T4-S
20 32 M9-T1-S
20 33 M9-T2-S
20 34 M9-T3-S
20 35 M9-T4-S
21 1 M1-T1-C
21 2 M1-T2-C
21 3 M1-T3-C
21 4 M1-T4-C
21 5 M2-T1-C
21 6 M2-T2-C
21 7 M2-T3-C
21 8 M2-T4-C
21 9 M3-T1-C
21 10 M3-T2-C
21 11 M3-T3-C
21 12 M3-T4-C
21 13 M4-T1-C
21 14 M4-T2-C
21 15 M4-T3-C
21 16 M4-T4-C
21 17 M5-T1-C
21 18 M5-T2-C
21 19 M5-T4-C
21 20 M6-T1-C
21 21 M6-T2-C
21 22 M6-T3-C
21 23 M6-T4-C
21 24 M7-T1-C
21 25 M7-T2-C
21 26 M7-T3-C
21 27 M7-T4-C
21 28 M8-T1-C
21 29 M8-T2-C
21 30 M8-T3-C
21 31 M8-T4-C
21 32 M9-T1-C
21 33 M9-T2-C
21 34 M9-T3-C
21 35 M9-T4-C
22 1 M5-T3-S
22 2 M5-T3-C
23 1 C1
23 2 C2
23 3 C3
23 4 C4
23 5 C5
23 6 C6
23 7 C7
23 8 C8
23 9 C9
23 10 C10
23 11 C11
23 12 C12
23 13 C13
23 14 C14
23 15 C15
23 16 C16
23 17 C17
23 18 C18
23 19 C19
23 20 C20
23 21 C21
23 22 C22
23 23 C23
23 24 C24
23 25 C25
23 26 C26
23 27 C27
23 28 C28
23 29 C29
23 30 C30
23 31 C31
23 32 C32
23 33 C33
